% Daily baseline values on the 08A scale
% Created 10-Jul-2016 08:38:45
%
% The CO2 data here are daily baseline averages.  The file contains all
% valid readings, with missing values denoted by NaN.  The data used to
% calculate the daily averages have been screened to eliminate local
% influences, such as the impacts of downslope vegetation  or volcanic
% fumaroles, on the record.
%
% We provide these data primarily for the users interested in subweekly or
% finer-scale variability. For users interested primarily in longer-term
% variability, we recommend using standard weekly or monthly products which
% are more authoritative on these longer time scales.  The standard weekly and
% monthly products are located at:
%
% http://scrippsco2.ucsd.edu/data/atmospheric_co2/
%
% Further details on these this high resolution dataset can be found in the
% technical report:
%
% Walker, S. J., R. F. Keeling and S. C. Piper
% (2016). Reconstruction of the Mauna Loa Carbon Dioxide Record using
% High Frequency APC Data from 1958 through 2004. La Jolla, California,
% Scripps Institution of Oceanography: 1-17.
%
%
%
% Yr    - Year
% Mn    - Month
% Dy    - Day
% CO2   - CO2 baseline value
% NB    - Number of hourly averages in the baseline
% scale - Calibration scale code
%
% Yr, Mn, Dy,    CO2, NB, scale
1958, 05, 02, 316.84,  7, 8.1
1958, 05, 03, 316.40,  2, 8.1
1958, 05, 04, 316.76,  9, 8.1
1958, 05, 05, 317.69,  2, 8.1
1958, 05, 06, 317.84, 21, 8.1
1958, 05, 07,    NaN,  0, 8.1
1958, 05, 08,    NaN,  0, 8.1
1958, 05, 09,    NaN,  0, 8.1
1958, 05, 10,    NaN,  0, 8.1
1958, 05, 11,    NaN,  0, 8.1
1958, 05, 12,    NaN,  0, 8.1
1958, 05, 13,    NaN,  0, 8.1
1958, 05, 14,    NaN,  0, 8.1
1958, 05, 15,    NaN,  0, 8.1
1958, 05, 16,    NaN,  0, 8.1
1958, 05, 17,    NaN,  0, 8.1
1958, 05, 18,    NaN,  0, 8.1
1958, 05, 19,    NaN,  0, 8.1
1958, 05, 20, 317.70,  2, 8.1
1958, 05, 21, 317.98, 13, 8.1
1958, 05, 22, 318.09, 17, 8.1
1958, 05, 23, 317.94,  9, 8.1
1958, 05, 24,    NaN,  0, 8.1
1958, 05, 25,    NaN,  0, 8.1
1958, 05, 26,    NaN,  0, 8.1
1958, 05, 27,    NaN,  0, 8.1
1958, 05, 28,    NaN,  0, 8.1
1958, 05, 29,    NaN,  0, 8.1
1958, 05, 30,    NaN,  0, 8.1
1958, 05, 31,    NaN,  0, 8.1
1958, 06, 01,    NaN,  0, 8.1
1958, 06, 02,    NaN,  0, 8.1
1958, 06, 03,    NaN,  0, 8.1
1958, 06, 04,    NaN,  0, 8.1
1958, 06, 05,    NaN,  0, 8.1
1958, 06, 06,    NaN,  0, 8.1
1958, 06, 07,    NaN,  0, 8.1
1958, 06, 08,    NaN,  0, 8.1
1958, 06, 09,    NaN,  0, 8.1
1958, 06, 10,    NaN,  0, 8.1
1958, 06, 11,    NaN,  0, 8.1
1958, 06, 12,    NaN,  0, 8.1
1958, 06, 13,    NaN,  0, 8.1
1958, 06, 14,    NaN,  0, 8.1
1958, 06, 15,    NaN,  0, 8.1
1958, 06, 16,    NaN,  0, 8.1
1958, 06, 17,    NaN,  0, 8.1
1958, 06, 18,    NaN,  0, 8.1
1958, 06, 19,    NaN,  0, 8.1
1958, 06, 20,    NaN,  0, 8.1
1958, 06, 21,    NaN,  0, 8.1
1958, 06, 22,    NaN,  0, 8.1
1958, 06, 23,    NaN,  0, 8.1
1958, 06, 24,    NaN,  0, 8.1
1958, 06, 25,    NaN,  0, 8.1
1958, 06, 26,    NaN,  0, 8.1
1958, 06, 27,    NaN,  0, 8.1
1958, 06, 28,    NaN,  0, 8.1
1958, 06, 29,    NaN,  0, 8.1
1958, 06, 30,    NaN,  0, 8.1
1958, 07, 01,    NaN,  0, 8.1
1958, 07, 02,    NaN,  0, 8.1
