"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|CH4","Mt CH4/yr",366.2435,381.6135,392.8793,254.0004,200.0049,165.4926,158.092,155.5761,156.237,168.1639,172.0967,173.7974,173.3518,169.8498,167.3125,160.6825,152.622,140.068,137.2885
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|CO2","Mt CO2/yr",33899.2827,36228.6641,38995.4282,30261.0102,19725.4363,8663.6334,6200.6457,3907.3671,1749.3975,-916.7166,-2602.216,-3774.3033,-4687.898,-5346.2951,-6078.7119,-6939.1161,-7828.8792,-8814.3516,-9040.7774
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|N2O","kt N2O/yr",9895.7278,10396.8904,10745.4571,6788.2496,5726.4572,5240.4429,5597.51,6190.432,7009.1107,7459.2975,7627.8085,7734.1176,7772.2821,7702.6475,7647.5055,7437.9081,7157.6682,6693.3131,6590.0618
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Concentration|CH4","ppb",1794.2203,1857.2402,1917.3434,1920.6579,1793.2337,1616.8791,1488.4945,1399.7945,1347.7403,1322.4371,1321.1469,1330.6215,1339.4999,1346.4882,1347.6165,1343.819,1332.7385,1317.6647,1301.7756
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Concentration|CO2","ppm",388.8725,399.8186,412.0852,423.2324,429.643,431.9595,431.494,428.9474,426.349,423.3482,420.0533,416.5081,412.8355,409.1908,405.3551,401.5503,397.354,393.1577,389.186
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Concentration|N2O","ppb",321.9114,323.8168,325.9051,327.5689,327.5328,326.3415,325.1303,324.1058,323.5976,323.5099,323.6449,323.9334,324.2603,324.5895,324.8589,325.0299,325.0262,324.8449,324.524
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Temperature|Global Mean","°C",0.9771,1.1023,1.2364,1.4056,1.4818,1.5599,1.5423,1.569,1.5316,1.5417,1.5132,1.5105,1.4979,1.4717,1.4727,1.4217,1.4303,1.3675,1.3684
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Emissions|CH4","Mt CH4/yr",366.875,380.554,383.3913,250.1888,197.8332,163.641,155.6671,152.2362,151.658,162.057,164.7599,164.7631,161.3174,156.9471,152.6208,145.2142,136.2417,121.0779,116.2661
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Emissions|CO2","Mt CO2/yr",34477.4844,37205.9956,40326.8225,31407.6251,20727.2468,9349.7229,6751.9642,4416.3612,2357.0416,-11.2104,-1600.5369,-2707.7592,-3528.267,-4290.794,-5058.9595,-5987.2329,-6944.3885,-7971.3917,-8122.0548
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Emissions|N2O","kt N2O/yr",9935.5739,10368.2959,10564.9062,6776.1162,5772.715,5267.5673,5612.1588,6189.9014,6995.4265,7403.7051,7537.2867,7587.7869,7512.8116,7386.0675,7244.2682,6971.5988,6624.9363,6025.2628,5829.4679
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Concentration|CH4","ppb",1794.2547,1854.6676,1905.5537,1899.8656,1772.0839,1600.5262,1475.7373,1388.396,1335.7448,1308.5746,1304.4391,1310.1355,1314.0991,1315.9368,1312.5516,1304.8072,1290.4904,1271.8854,1251.6624
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Concentration|CO2","ppm",388.9224,400.1339,412.7891,424.3296,430.9472,433.3599,432.9661,430.4778,427.9504,425.0269,421.8227,418.3896,414.86,411.3795,407.7105,404.0732,400.0342,396.0024,392.206
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Concentration|N2O","ppb",321.9173,323.8155,325.8193,327.371,327.2978,326.121,324.923,323.9066,323.3981,323.2966,323.3931,323.6092,323.8104,323.9659,324.0224,323.9447,323.6609,323.1587,322.4963
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Temperature|Global Mean","°C",0.9782,1.1061,1.2428,1.415,1.4945,1.5741,1.5572,1.5835,1.545,1.5551,1.5266,1.5239,1.511,1.4841,1.4844,1.4324,1.4398,1.3762,1.3762
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,348.559,354.157,349.398,297.596,256.084,222.469,195.215,184.926,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Emissions|CO2","Mt CO2/yr",36978.6,39863.9,39376.5,37004.8,33233.9,24219.2,16601.2,9874.71,4072.32,-1068,-5159.11,-8251.76,-10391.7,-11807,-12730.6,-13426.5,-13834.8,-13939.1,-13854.9
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Emissions|N2O","kt N2O/yr",9762.4,10281.9,10125,10180.5,10134.4,8856.28,7958.55,7714.69,7581.9,7533.66,7485.42,7467.63,7449.83,7480.41,7510.98,7632.21,7753.45,7672.93,7592.41
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Concentration|CH4","ppb",1699.67,1764.55,1822.17,1867.38,1897,1874.3,1798.76,1700.12,1597.56,1510.16,1445.57,1395.44,1352.7,1313.13,1274.24,1240.49,1214.22,1192.67,1174.17
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Concentration|CO2","ppm",385.916,398.094,410.086,421.071,430.118,435.942,438.05,437.406,434.63,430.195,424.579,418.301,411.817,405.421,399.247,393.316,387.647,382.306,377.312
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Concentration|N2O","ppb",321.726,325.674,329.591,333.34,336.941,339.973,342.169,343.915,345.484,346.929,348.283,349.559,350.77,351.934,353.069,354.203,355.366,356.496,357.527
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Temperature|Global Mean","°C",1.03481,1.13851,1.24627,1.37358,1.4983,1.60542,1.68192,1.72397,1.73726,1.72967,1.70792,1.67804,1.64272,1.60421,1.56361,1.52252,1.48221,1.44324,1.40577
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.942,351.864,285.112,244.899,221.588,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Emissions|CO2","Mt CO2/yr",36978.6,39863.9,39176,38289.5,28288,19578,12163,5941.27,930.131,-2905.83,-5430.25,-7004.67,-7874.18,-8091.69,-7885.6,-7451.89,-6857.95,-6123.82,-5263.53
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Emissions|N2O","kt N2O/yr",9762.4,10281.9,10082,10145.5,8623.95,8164.3,7847.49,7714.69,7581.9,7533.66,7485.42,7467.63,7449.83,7480.41,7510.98,7632.21,7753.45,7672.93,7592.41
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Concentration|CH4","ppb",1699.67,1764.55,1821.21,1863.93,1845.01,1758.92,1664.11,1581.56,1511.48,1454.59,1410.83,1373.41,1338.28,1303.23,1267.03,1234.93,1209.75,1189.05,1171.32
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Concentration|CO2","ppm",385.916,398.094,410.045,421.163,429.162,432.615,432.751,430.507,426.624,421.727,416.421,411.128,406.094,401.503,397.449,393.926,390.899,388.346,386.272
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Concentration|N2O","ppb",321.726,325.674,329.581,333.303,336.372,338.703,340.719,342.506,344.134,345.636,347.044,348.372,349.633,350.845,352.025,353.202,354.407,355.577,356.648
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Temperature|Global Mean","°C",1.03481,1.13851,1.24617,1.37309,1.49432,1.58397,1.64187,1.67006,1.67491,1.66327,1.64093,1.61359,1.58365,1.55302,1.52279,1.49454,1.46953,1.44804,1.43001
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.802,301.474,260.01,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Emissions|CO2","Mt CO2/yr",36978.6,39863.9,39059,30369.4,13439,1990.06,-4832.83,-8666.59,-10558.9,-10925.6,-10555.5,-9927.43,-9135.24,-8237.1,-7287.48,-6324.64,-5377.61,-4468.19,-3612.11
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Emissions|N2O","kt N2O/yr",9762.4,10281.9,10077.3,9056.07,8481.11,8164.3,7847.49,7714.69,7581.9,7533.66,7485.42,7467.63,7449.83,7480.41,7510.98,7632.21,7753.45,7672.93,7592.41
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Concentration|CH4","ppb",1699.67,1764.55,1821.11,1848.03,1777.07,1698.78,1624.61,1556.23,1494.34,1441.76,1399.84,1362.75,1327.09,1291.08,1253.81,1220.66,1194.59,1173.15,1154.88
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Concentration|CO2","ppm",385.916,398.094,410.031,420.142,422.074,417.796,410.873,403.299,395.998,389.52,384.072,379.51,375.7,372.533,369.921,367.788,366.073,364.719,363.676
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Concentration|N2O","ppb",321.726,325.674,329.579,333.153,335.881,338.216,340.252,342.059,343.706,345.225,346.651,347.995,349.272,350.499,351.693,352.885,354.103,355.286,356.368
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Temperature|Global Mean","°C",1.03481,1.13851,1.24615,1.37178,1.47137,1.52451,1.54244,1.53256,1.50457,1.46733,1.42735,1.38922,1.35376,1.32134,1.29173,1.26564,1.24378,1.22607,1.21198
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.942,351.864,260.241,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|CO2","Mt CO2/yr",36978.6,39863.9,39194.8,38613.2,22216.6,10364.5,3219.1,-828.781,-3010.2,-3936.59,-3960.21,-3839.24,-3683.52,-3509.14,-3328.08,-3147.93,-2971.81,-2801.65,-2638.63
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|N2O","kt N2O/yr",9762.4,10281.9,10082,10145.5,8481.11,8164.3,7847.49,7714.69,7581.9,7533.66,7485.42,7467.63,7449.83,7480.41,7510.98,7632.21,7753.45,7672.93,7592.41
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Concentration|CH4","ppb",1699.67,1764.55,1821.21,1863.93,1816.12,1723.3,1640.14,1566.41,1501.56,1447.57,1405.24,1368.4,1333.39,1298.29,1262.03,1229.96,1204.94,1184.52,1167.19
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Concentration|CO2","ppm",385.916,398.094,410.046,421.241,427.562,426.981,423.054,418.041,413.01,408.442,404.619,401.461,398.788,396.472,394.428,392.594,390.932,389.414,388.016
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Concentration|N2O","ppb",321.726,325.674,329.581,333.303,336.197,338.518,340.542,342.337,343.972,345.48,346.895,348.229,349.496,350.713,351.899,353.082,354.292,355.467,356.542
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Temperature|Global Mean","°C",1.03481,1.13851,1.24617,1.37321,1.49042,1.56395,1.60112,1.60966,1.5997,1.5798,1.55607,1.5332,1.51177,1.49189,1.4731,1.456,1.44126,1.42885,1.41834
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.802,293.161,260.01,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Emissions|CO2","Mt CO2/yr",36978.6,39863.9,39144.6,29339.5,11412.3,1876.43,-2552.43,-4249.15,-4328.97,-4242.53,-4092.55,-3913.43,-3723.95,-3531.87,-3341.67,-3156.03,-2976.62,-2804.5,-2640.32
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Emissions|N2O","kt N2O/yr",9762.4,10281.9,10077.3,9033.62,8481.11,8164.3,7847.49,7714.69,7581.9,7533.66,7485.42,7467.63,7449.83,7480.41,7510.98,7632.21,7753.45,7672.93,7592.41
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Concentration|CH4","ppb",1699.67,1764.55,1821.11,1844.36,1772.58,1695.96,1622.82,1555.06,1493.57,1441.31,1399.74,1363.11,1328.02,1292.72,1256.23,1223.93,1198.73,1178.16,1160.72
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Concentration|CO2","ppm",385.916,398.094,410.035,420.197,421.071,416.39,410.339,404.614,399.961,396.231,393.145,390.531,388.266,386.264,384.467,382.832,381.335,379.956,378.68
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Concentration|N2O","ppb",321.726,325.674,329.579,333.131,335.859,338.194,340.232,342.039,343.687,345.207,346.633,347.978,349.256,350.483,351.679,352.871,354.09,355.273,356.356
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Temperature|Global Mean","°C",1.03481,1.13851,1.24615,1.37201,1.46872,1.51792,1.53575,1.5313,1.51439,1.49237,1.46876,1.44642,1.42543,1.4058,1.38713,1.37002,1.35523,1.34271,1.33208
"GCAM 4.2","SSP1-19","World","Emissions|CH4","Mt CH4/yr",368.2888156,"",342.1350407,"",277.9403921,"",256.7489828,"",222.8661704,"",194.8873202,"",167.9866514,"",152.4607167,"",138.8806463,"",125.4224859
"GCAM 4.2","SSP1-19","World","Emissions|CO2","Mt CO2/yr",35775.48811,"",37684.32868,"",19308.12351,"",10579.882,"",3262.708705,"",-633.5988323,"",-4335.446843,"",-8420.989592,"",-12963.82416,"",-17674.16662
"GCAM 4.2","SSP1-19","World","Emissions|N2O","kt N2O/yr",10629.11272,"",9730.892438,"",8446.236453,"",8010.085475,"",7489.078079,"",6958.017462,"",6301.423127,"",5750.41947,"",5090.891972,"",4370.321534
"GCAM 4.2","SSP2-19","World","Emissions|CH4","Mt CH4/yr",368.2888152,"",371.0505116,"",338.4892352,"",327.7534693,"",324.4300349,"",315.9192917,"",308.1095954,"",297.6645652,"",286.2550399,"",273.3582653
"GCAM 4.2","SSP2-19","World","Emissions|CO2","Mt CO2/yr",35775.47108,"",41337.61975,"",36001.98326,"",9535.763441,"",-7452.18824,"",-13187.10828,"",-14127.61544,"",-18177.96885,"",-23522.44607,"",-31683.69888
