	"Forcing timeseries from IPCC AR5 (Myhre et al., 2013) Chapter 8 updated to 2015 using GHG data from NOAA and ECLIPSE data from CICERO for ozone and aerosol; Volcanic data from Anja Schmidt; Solar data from SOURCE."													

	Rfari is not included in the total							Strat. Water.						

"Methane updated March 2017 and GHG RF timeseries updated following Etminan, M., G. Myhre, E. J. Highwood, and K. P. Shine (2016), Radiative forcing of carbon dioxide, methane, and nitrous oxide: A significant revision of the methane radiative forcing, Geophys. Res. Lett., 43, 12,614?12,623, doi:10.1002/2016GL071930. "														

Year	CO2	OtherWMGHG	O3(T)	O3(S)	RFari	totalaerosolERF	ERFLUC	Vapour	BCsnow	contrails	Solar	Volcanic	Total	Anthrototal
1983	1.11	0.8214	0.34	-0.03	-0.38	-0.79	-0.14	0.06	0.05	0.01	0.09	-1.88	-0.3586	1.4314

1984	1.14	0.8436	0.35	-0.04	-0.38	-0.8	-0.14	0.06	0.05	0.01	0.02	-0.75	0.7436	1.4736

1985	1.16	0.8658	0.35	-0.04	-0.39	-0.81	-0.14	0.06	0.05	0.01	0.01	-0.33	1.1858	1.5058

1986	1.18	0.8769	0.36	-0.04	-0.39	-0.82	-0.14	0.07	0.05	0.01	0.01	-0.35	1.2069	1.5469

1987	1.21	0.8991	0.36	-0.04	-0.39	-0.84	-0.14	0.07	0.05	0.02	0.01	-0.25	1.3491	1.5891

1988	1.24	0.9213	0.36	-0.04	-0.4	-0.85	-0.14	0.07	0.05	0.02	0.1	-0.2	1.5313	1.6313

1989	1.27	0.9435	0.37	-0.05	-0.4	-0.86	-0.15	0.07	0.05	0.02	0.15	-0.15	1.6635	1.6635

1990	1.29	0.9657	0.37	-0.05	-0.4	-0.87	-0.15	0.07	0.05	0.02	0.12	-0.15	1.6657	1.6957

1991	1.3	0.9879	0.37	-0.05	-0.4	-0.88	-0.15	0.07	0.05	0.02	0.13	-1.35	0.4979	1.7179

1992	1.32	0.999	0.38	-0.05	-0.4	-0.88	-0.15	0.07	0.05	0.02	0.14	-3.03	-1.131	1.759

1993	1.33	1.0101	0.38	-0.05	-0.39	-0.89	-0.15	0.07	0.04	0.02	0.06	-1.23	0.5901	1.7601

1994	1.35	1.0212	0.38	-0.06	-0.39	-0.89	-0.15	0.07	0.04	0.02	0.03	-0.5	1.3112	1.7812

1995	1.38	1.0212	0.38	-0.06	-0.38	-0.9	-0.15	0.07	0.04	0.03	0.02	-0.25	1.5812	1.8112

1996	1.4	1.0323	0.38	-0.06	-0.38	-0.9	-0.15	0.07	0.04	0.03	0	-0.18	1.6623	1.8423

1997	1.43	1.0434	0.38	-0.06	-0.38	-0.91	-0.15	0.07	0.04	0.03	0.02	-0.13	1.7634	1.8734

1998	1.46	1.0434	0.38	-0.06	-0.37	-0.91	-0.15	0.07	0.04	0.03	0.06	-0.08	1.8834	1.9034

1999	1.49	1.0545	0.39	-0.06	-0.37	-0.92	-0.15	0.07	0.04	0.03	0.1	-0.05	1.9945	1.9445

2000	1.51	1.0656	0.39	-0.06	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.13	-0.05	2.0556	1.9756

2001	1.53	1.0656	0.39	-0.06	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.11	-0.05	2.0556	1.9956

2002	1.56	1.0767	0.39	-0.05	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.11	-0.05	2.1067	2.0467

2003	1.59	1.0767	0.39	-0.05	-0.36	-0.92	-0.15	0.07	0.04	0.03	0.04	-0.08	2.0367	2.0767

2004	1.62	1.0767	0.39	-0.05	-0.36	-0.91	-0.15	0.07	0.04	0.04	0.01	-0.05	2.0867	2.1267

2005	1.65	1.0878	0.39	-0.05	-0.36	-0.91	-0.15	0.07	0.04	0.04	-0.01	-0.08	2.0778	2.1678

2006	1.68	1.0878	0.4	-0.05	-0.36	-0.91	-0.15	0.07	0.04	0.04	-0.02	-0.1	2.0878	2.2078

2007	1.71	1.0989	0.4	-0.05	-0.35	-0.91	-0.15	0.07	0.04	0.04	-0.02	-0.1	2.1289	2.2489

2008	1.74	1.0989	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.05	-0.02	-0.2	2.0789	2.2989

2009	1.76	1.11	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.04	-0.03	-0.26	2.03	2.32

2010	1.79	1.1211	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.05	0	-0.2	2.1711	2.3711

2011	1.82	1.1211	0.4	-0.05	-0.35	-0.9	-0.15	0.07	0.04	0.05	0.03	-0.26	2.1711	2.4011

2012	1.845	1.141317554	0.40421	-0.05	-0.33158	-0.89037	-0.15211	0.07372	0.04	0.05	0.02852	-0.23684	2.253447554	2.461767554

2013	1.882	1.148699345	0.40842	-0.05	-0.31316	-0.88074	-0.15421	0.07473	0.04	0.05	0.02693	-0.22368	2.322149345	2.518899345

2014	1.909	1.159482215	0.41263	-0.05	-0.29474	-0.87111	-0.15632	0.07575	0.04	0.05	0.02535	-0.21052	2.384262215	2.569432215

2015	1.943619059	1.168902116	0.41684	-0.05	-0.27632	-0.86147	-0.15842	0.07676	0.04	0.05	0.011105542	-0.19736	2.439976717	2.626231175

2016	2.004594502	1.175257875	0.42105	-0.05	-0.25789	-0.85184	-0.16053	0.07778	0.04	0.05	0.005985574	-0.18422	2.528077951	2.706312377
