1850,31.30594601459174
1851,31.345617501743344
1852,31.48902066850183
1853,31.730273894136538
1854,32.06349555791675
1855,32.48280403911179
1856,32.982317716990984
1857,33.556154970823606
1858,34.19843417987902
1859,34.903273723426494
1860,35.66479198073535
1861,36.477107331074926
1862,37.33433815371452
1863,38.23060282792342
1864,39.160019732970966
1865,40.116707248126446
1866,41.094783752659204
1867,42.08836762583852
1868,43.091577246933745
1869,44.09853099521414
1870,45.10334724994906
1871,46.101356150426405
1872,47.092734876008485
1873,48.07887236607628
1874,49.06115756001066
1875,50.0409793971926
1876,51.01972681700304
1877,51.99878875882285
1878,52.97955416203301
1879,53.96341196601444
1880,54.951751110148095
1881,55.94582343624043
1882,56.946332395800205
1883,57.953844342761755
1884,58.96892563105932
1885,59.99214261462724
1886,61.024061647399826
1887,62.06524908331137
1888,63.116271276296146
1889,64.17769458028853
1890,65.25008534922276
1891,66.33332590473069
1892,67.42456243923412
1893,68.5202571128525
1894,69.6168720857051
1895,70.71086951791129
1896,71.79871156959052
1897,72.87686040086206
1898,73.94177817184527
1899,74.98992704265955
1900,76.01776917342424
1901,77.02334975245766
1902,78.01104608087397
1903,78.98681848798631
1904,79.95662730310771
1905,80.92643285555131
1906,81.90219547463023
1907,82.88987548965758
1908,83.89543322994646
1909,84.92482902481
1910,85.98402320356124
1911,87.07688431662928
1912,88.19891379890673
1913,89.34352130640215
1914,90.50411649512407
1915,91.67410902108102
1916,92.84690854028162
1917,94.01592470873439
1918,95.17456718244783
1919,96.31624561743058
1920,97.43436966969115
1921,98.52411411386196
1922,99.5877141990709
1923,100.62917029306975
1924,101.65248276361018
1925,102.66165197844398
1926,103.66067830532297
1927,104.65356211199882
1928,105.64430376622329
1929,106.63690363574815
1930,107.63536208832517
1931,108.64376024046311
1932,109.66650220369878
1933,110.70807283832612
1934,111.77295700463888
1935,112.86563956293098
1936,113.99060537349634
1937,115.15233929662872
1938,116.35532619262202
1939,117.60405092177011
1940,118.90299834436686
1941,120.26104425490206
1942,121.70462818464925
1943,123.26458059907786
1944,124.9717319636574
1945,126.85691274385727
1946,128.95095340514698
1947,131.28468441299603
1948,133.88893623287376
1949,136.7945393302498
1950,140.03232417059348
1951,143.6220257551695
1952,147.53899722842294
1953,151.747496270594
1954,156.21178056192312
1955,160.8961077826504
1956,165.76473561301623
1957,170.7819217332608
1958,175.91192382362445
1959,181.11899956434732
1960,186.36740663566982
1961,191.62140271783218
1962,196.8452454910747
1963,202.0031926356375
1964,207.05950183176108
1965,211.9784307596855
1966,216.7242370996511
1967,221.2611785318982
1968,225.55351273666696
1969,229.5654973941978
1970,233.26139018473089
1970,233.26139018473089
1971,237.71183644104718
1972,241.74978297669645
1973,248.66521419838088
1974,250.3373948641189
1975,252.10797091940407
1976,257.9915759305956
1977,261.98730067995564
1978,264.5226558595926
1979,269.65650695844823
1980,271.36398102651077
1981,268.2686937271913
1982,269.5712623091559
1983,270.8027288138586
1984,273.366522375838
1985,273.8200774734142
1986,278.75917921014576
1987,280.7788339954873
1988,286.3224842275709
1989,290.7853005676315
1990,292.40091129935877
1991,291.2919685239279
1992,288.1239928629125
1993,286.6563958368286
1994,287.3938263011783
1995,291.969278318942
1996,294.94945770647183
1997,295.51354292587115
1998,295.4745174057487
1999,295.6296786489829
2000,298.9087897696826
2001,301.5758094086628
2002,304.16727887955585
2003,312.76767686069957
2004,323.39027919464166
2005,331.0453627448238
2006,336.8379680749898
2007,341.2195816733251
2008,348.8978016755804
2009,349.9974584503989
2010,357.0187348859731
2011,360.5511163871746
2012,366.51074605448457
2013,369.7722615919563
2014,371.20517557333596
