"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Forcing|N2O","W/m2",0.170293,0.182699,0.194897,0.205995,0.214425,0.221612,0.227861,0.233388,0.238414,0.24304,0.247371,0.251447,0.255311,0.259016,0.262619,0.266205,0.269866,0.273414,0.276656
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Forcing","W/m2",2.26144,2.27953,2.5252,2.75131,2.87244,2.86701,2.814,2.707,2.60127,2.49237,2.40039,2.32453,2.25782,2.20102,2.14848,2.10721,2.0722,2.04526,2.02162
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Forcing|CH4","W/m2",0.453542,0.477998,0.498978,0.514575,0.49711,0.462505,0.430677,0.401754,0.375726,0.353613,0.335978,0.320405,0.305404,0.290156,0.274183,0.259853,0.248542,0.239219,0.231242
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Forcing|CO2","W/m2",1.77397,1.9402,2.09844,2.24255,2.32224,2.31496,2.26553,2.20176,2.13699,2.07748,2.02717,1.98525,1.94951,1.91835,1.8907,1.86577,1.84307,1.82225,1.80301
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Forcing|N2O","W/m2",0.170293,0.182699,0.194901,0.206459,0.215398,0.222541,0.228748,0.234236,0.239225,0.243815,0.248112,0.252155,0.255988,0.259664,0.263239,0.266798,0.270433,0.273957,0.277175
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Forcing","W/m2",2.26144,2.27953,2.52501,2.73011,2.77219,2.71957,2.64124,2.52512,2.4237,2.32496,2.24188,2.17242,2.11037,2.05706,2.00717,1.96797,1.93464,1.90912,1.88669
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Forcing|CH4","W/m2",0.453542,0.477998,0.498942,0.507455,0.480992,0.45213,0.423943,0.397238,0.37248,0.351024,0.333667,0.31815,0.303085,0.287716,0.271604,0.25714,0.245715,0.236298,0.228247
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Forcing|CO2","W/m2",1.77397,1.9402,2.09831,2.22928,2.24039,2.18058,2.10228,2.0271,1.96523,1.91509,1.87327,1.83757,1.80645,1.7788,1.75385,1.73105,1.71009,1.69071,1.67271
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Forcing|N2O","W/m2",0.170293,0.182699,0.194897,0.205925,0.214355,0.221546,0.227797,0.233328,0.238356,0.242985,0.247318,0.251396,0.255262,0.25897,0.262575,0.266163,0.269826,0.273376,0.276619
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2",2.096476078,2.32674408,2.604824066,2.865844965,2.962687969,3.001568079,2.980402946,2.89564991,2.795358896,2.705193043,2.613292933,2.511977911,2.416810036,2.330338955,2.255836964,2.193252087,2.136966944,2.086591959,2.037833929
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Forcing|CH4","W/m2",0.493640989,0.512144029,0.526113987,0.522614002,0.492049009,0.455047995,0.421992004,0.397787005,0.381682009,0.370142996,0.359982997,0.351404995,0.345052987,0.340310991,0.336694002,0.333227992,0.329335988,0.324927002,0.320183009
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Forcing|CO2","W/m2",1.834336996,1.984740973,2.135545969,2.259761095,2.339435101,2.385941982,2.385195971,2.345330954,2.286950111,2.217363119,2.137150049,2.052706003,1.968392968,1.890077949,1.818999052,1.754333973,1.69512105,1.640547037,1.588968039
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Forcing|N2O","W/m2",0.167916,0.180577993,0.192999005,0.204596996,0.214169994,0.222745001,0.230969995,0.239210993,0.247714996,0.256188989,0.264167994,0.271640986,0.278726012,0.285488993,0.291983008,0.298206002,0.304132015,0.309751987,0.31506899
