"RCP_Region","RCP_Sector","X1850","X1860","X1870","X1880","X1890","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970"
"Argentina","AGR",9.91711399693189,12.1209171073612,18.9538086512473,25.7855982935781,32.8256473298446,140.657733523151,512.736831672483,572.393781871805,490.500458288251,713.28291472155,1004.74689509138,2629.90844183082,3170.3911546636
"Argentina","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","DOM",0.36882551186703,0.49176734915604,0.73765102373406,0.98353469831208,1.23679488312744,1.49866099655303,1.79863907953822,2.12197611160831,2.39367757201702,2.56333730747586,2.59776102191678,3.07354593222525,3.39073587243089
"Argentina","ENE",0,0,0,0,0,0,0.0504199783925105,3.63023844426076,21.731010687172,48.5040192135951,61.3106937252928,191.142138086007,463.712541275919
"Argentina","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","IND",0,0,0.0536324475551656,0.108483814372949,0.164554100453349,0.268162237775828,0.461970400531994,0.566797457117091,0.745978588721848,1.05924083921452,1.35665713929317,2.45977907196191,3.66772806121575
"Argentina","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","TRA",0,0,0,0,0,0,0,0,0.0224970483284976,0.0689909482073925,0.347954347480762,2.27070207795635,5.67825499811278
"Argentina","WST",13.1338965058578,16.490010409134,21.5313671344426,30.2468906352612,39.0348976983177,54.3351779134771,76.5513897394093,100.964603331106,126.733759423288,152.409186771197,184.139490999155,221.593497210731,258.753820023585
"Asia-Stan","AGR",168.995321434126,175.978599179338,253.304433652068,330.637251402544,410.309467197665,470.97320097032,469.360063811177,704.54289171442,767.811388086039,671.511987979568,776.40081971265,1027.86865131773,1242.46477642809
"Asia-Stan","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Stan","DOM",0.845693624397314,0.845693624397314,1.07318520936019,1.30067679432307,1.53493392828112,1.77172814311237,2.09732018850534,2.29182972211672,4.04241552461916,8.9728093548555,13.552240330967,20.4404149016831,24.7619093223534
"Asia-Stan","ENE",1.57010466342377,1.57010466342377,10.5291218729198,19.4865689777524,28.7172142940207,77.3433557202548,115.167177062133,32.1557435069188,203.234347633573,646.223677371955,862.929523017703,1910.97438585307,3037.68149232597
"Asia-Stan","Fossil-fuel-fires",0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Stan","IND",0,0,0.125688383925712,0.251376767851424,0.381475270511371,0.570007846399939,0.928329993556573,1.08378667893837,1.41344305432248,2.15654806104116,2.79711780718887,4.78387629696196,7.11131645895475
"Asia-Stan","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Stan","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Stan","TRA",0,0,0,0,0,0,0,0,0.0274587890699773,0.164752734419864,0.686469726749434,4.05967635326896,7.59763571420835
"Asia-Stan","WST",51.9999053973322,54.2801923434453,56.6307019842205,62.0319975819852,67.0724265544027,75.1275548212751,83.5006358445345,95.1741835169155,102.60315942305,119.905251135645,116.199053361808,161.521950875013,219.036288433732
"Australia","AGR",774.503663725765,1637.83928888244,1524.99493787724,1412.0117869323,1295.72519742164,1033.78195115224,1431.30497855557,1656.85488062625,1786.07762452028,1827.16240668207,2028.28351935925,2561.27528794472,3244.30979138459
"Australia","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia","DOM",6.53182711383023,22.8613948984058,31.1600812465271,39.4587675946484,48.0089292866522,55.095961705158,64.6324292913501,70.6090511005048,71.3602112185953,79.3616994330373,93.7970373546021,109.146831072103,112.902631662556
"Australia","ENE",2.36402472485411,4.72804944970823,18.3330117412436,31.9391560451415,45.956640651164,84.5138839135345,128.945728617168,169.760615491774,127.019048466411,156.959421606689,221.603677707825,291.094184494911,632.364793774851
"Australia","Fossil-fuel-fires",0,6.57048847775289e-05,0.00063846564804023,0.00244131546895348,0.00850757746517334,0.0232717899313712,0.0553435283463039,0.107571226962594,0.16841461395229,0.228475550426826,0.315060336786369,0.437775823608239,0.588783880511531
"Australia","IND",0,0,0.268031331492553,0.53829625741421,0.815261966623181,1.09892845911947,1.58361845023516,1.80251070428742,2.02363655276877,2.65574377620538,3.29455178292929,5.13503359251149,7.55178276480267
"Australia","International-shipping",0,0,0,0,0,0,0,0,0,0,0,0.194647631058095,0.219132483627955
"Australia","SLV",0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia","TRA",0,0,0,0,0,0,0.0327299853899367,0.0327299853899367,0.0327299853899367,0.0654599707798735,0.294569868509431,1.44011935715722,11.9815125088161
"Australia","WST",20.9682903684117,44.3726253627598,65.9952402177511,85.6666630788283,118.322167545483,141.540717886439,167.414629370994,203.474977461027,241.193793432558,270.792460650966,312.779792317497,388.924312210048,479.623473729287
"Baltic States","AGR",116.310970498835,133.22892984412,124.664212925569,116.099496007019,107.270435973698,123.131022859903,122.708073876271,184.1837086472,200.731587631807,175.555549381105,202.973217245057,268.710063026081,324.814245704882
"Baltic States","Aviation",0,0,0,0,0,0,0,0,0,0,0,0,0
"Baltic States","DOM",0.98046771046739,0.98046771046739,1.12557693161656,1.2716666204762,1.42167818017771,1.67659978489924,2.0295681606675,2.22566170276097,4.25522986342847,10.0694033865001,15.4325617627567,23.4723969885893,28.531610374601
"Baltic States","ENE",0,0,0.0674519401202941,0.134903880240588,0.204399818546346,0.549727933037804,0.818675062704048,0.228605060216308,1.4453218748264,4.59523065747745,6.13629771046503,13.5898984620353,21.6244250136847
