"em","country","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"CO2","abw","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232953285531769,0.000461815294684527,0.000686586027458273,0.000907265483853008,0.00112385366386873,0.00133635056750544,0.00154475619476314,0.00174907054564182,0.00194929362014151,0.00214542541826217,0.00249567787843115,0.00287060486920789,0.00327020639059243,0.00369448244258471,0.0041434330251848,0.00461705813839262,0.00511535778220826,0.00563833195663165,0.00618598066166279,0.00675830389730176,0.00797918389113695,0.00928415577058835,0.0106732195356559,0.0121463751863397,0.0137036227226397,0.0153449621445559,0.0170703934520883,0.018879916645237,0.0207735317240017,0.0227512386883828,0.0241024899838222,0.0254919913871645,0.0269197428984096,0.0283857445175575,0.0298899962446082,0.0314324980795617,0.033013250022418,0.0346322520731771,0.036289504231839,0.0379850064984037,0.0389346316608638,0.0398842568233238,0.0408338819857839,0.041783507148244,0.0427331323107041,0.0436827574731642,0.0446323826356243,0.0455820077980844,0.0465316329605445,90.0351326620361,179.643560708835,268.863648494759,310.514349777848,632.652859016337,530.595974175667,698.481308720538,486.021432172093,433.083728343048,565.183579260343,490.474355377518,513.851827256805,563.774285159637,537.50065631342,519.005650199148,461.9850190452,428.426775209157,522.592049688509,480.958771208541,622.919063394395,689.96458600252,614.384031830764,680.443932782478,686.446368037161,523.637473565253,461.211041837611,839.222955604725,433.031901925307,456.793795834932,441.330178091024,429.760226126738,608.327591648659,635.345920828742,348.528251952735,741.012692977374,837.874380751407,214.644246602755,477.44644922637,619.884835689687,623.897650527251,1536.44751532578,1665.848783496,1477.0653638798,1454.14954977486,1425.44225671549,1473.99938941361,1489.56796518228,1511.17843002873,1380.32148918136,1396.82416615429,1738.5793234246,1744.51020673061,1782.03892275285,1783.60704091094,1764.91261878088,1762.22967103017,1762.58894319375,1841.75821710589,1800.87308837167,1801.23192482176,1910.37648042304,1957.49657204595,2177.35449555273,2262.01260109988,2290.34847300471
"CO2","afg","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8732197707592,113.56373521214,116.905858271847,118.119231631584,126.755616102838,133.288451708638,186.465458731928,228.982936496789,379.72513066643,424.671310366346,485.982149695021,523.808869671504,602.10975621785,818.045712239982,854.477783919676,1021.45879113815,1212.06193743007,1306.46560232526,1298.72829611694,1159.20652734847,1142.61305387471,1467.87224182568,3319.01695487258,3542.18788653441,4659.55856542235,4904.63083288354,5839.34871648182,6618.50708189404,7240.52984535593,9021.20901053076,7658.05557298936,6525.35693570995,7487.18842881071,8809.48238862983,8815.94899024329,9253.58013370062,3173.27385818699,2826.877844054,2815.34143706392,2607.18626526018,2630.79509666692,2538.77459659756,2373.6251303852,1432.24964215515,1377.2656796088,1417.60609827913,1287.65673432688,1209.54310692435,1144.19588390485,1100.32274469665,921.187576542983,874.738649887765,759.488020898789,697.049429057026,889.192626185948,968.050942331724,1329.2664154897,1645.37933339598,2252.63372798757,3797.57639165375,5786.90826346332,7193.2772228417,10738.0723526225,13632.4691060296,14540.9146849787,15089.6758820274
"CO2","ago","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.405276926256,741.341250020916,918.081786424002,932.030183545765,1238.71825357384,1447.67039363698,2052.91266439093,2341.49150705384,2326.09216542465,2424.22702443662,1768.81830274872,1589.0197902433,4950.708614397,5084.53142945,5137.23650238432,5009.58535147756,6570.32996035929,4013.12653853283,7005.6533150897,12228.5486255093,9004.14419117795,8730.6952480731,9796.77456614158,9919.79496069431,10117.6245936665,9600.03826732067,8689.09335394532,9358.58681811363,10740.012139085,10702.8013826844,10755.8897902937,10428.6802668538,10059.8821435616,10260.7803811678,10101.2613272203,10753.2817711303,10773.0495486176,10880.402316349,11634.973388471,11766.3654414293,11071.0175578089,11241.5915106738,11217.7053259843,11469.6997189663,10899.8097499828,12182.2317261517,14710.2275484796,15099.6299569903,15635.1919277828,16447.3415922523,15198.6349233435,15045.5613931769,14870.6692790671,14963.8836117116,15472.9612822909,14543.0038354369,15509.5937514579,16058.3483574273,17891.0108296762,19845.5502630904,20967.6772859567,22302.131627837,24219.1208158237,25711.5139563424,26215.2804190224
"CO2","alb","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74943087598346,7.74250663953552,19.2838660493269,132.73471030891,304.068114196265,354.128637590833,437.669177907602,700.077271117011,635.440707228356,757.029884337889,471.890374597619,158.123806389403,125.085164182799,513.524650388806,956.708255308386,729.886356958751,1045.16328164794,337.36968578006,448.512440307783,422.093471595661,470.629023578086,570.005256833613,754.947033900883,939.656008037139,1626.56095223741,1314.74373514426,1576.52889998406,2157.6106165644,2419.29054500439,2619.68480806367,2185.544560814,2138.35034751547,2327.79357829396,2697.4691249049,2798.93207487325,3167.0237115232,3314.72598349257,3837.71262176535,4846.13837495512,5608.60334301054,4824.16293018748,5080.99488688913,5162.05904730532,5538.79269205157,5854.80385963371,6509.70126018355,7699.3845782935,7977.7677590333,6631.00018157184,6750.80146181523,7330.33077018827,7895.60325169949,7515.07184653459,7614.16791107793,7934.61907541398,7702.43461448025,7649.72433279501,7194.88406186871,4778.57273380912,2507.22814380038,2405.61545067666,2499.94612272859,2294.07109035771,2271.99541729315,1722.89442237995,1944.84395235474,3358.60123670244,3475.42570242723,3572.53056245931,4299.56098747632,4584.76623887412,4848.75070942881,4513.56062055768,4658.29331858923,4660.93865464368,4428.99099653693,4523.91136511098,5021.08992699908,5150.41510751456,4713.87005017897,4908.4065777774,4968.06528564772
"CO2","are","ktC",3.06206544850517,3.0773757757477,3.09268610299022,3.10799643023275,3.12330675747528,3.1386170847178,3.15392741196033,3.16923773920286,3.18454806644537,3.1998583936879,3.21516872093043,3.23124456453508,3.24732040813973,3.26339625174438,3.27947209534904,3.29554793895369,3.31162378255834,3.32769962616299,3.34377546976765,3.3598513133723,3.37592715697695,3.39280679276184,3.40968642854672,3.42656606433161,3.44344570011649,3.46032533590137,3.47720497168626,3.49408460747114,3.51096424325603,3.52784387904091,3.5447235148258,3.56244713239993,3.58017074997406,3.59789436754818,3.61561798512231,3.63334160269644,3.65106522027058,3.6687888378447,3.68651245541883,3.70423607299296,3.72195969056709,3.74056948901993,3.75917928747276,3.7777890859256,3.79639888437843,3.81500868283127,3.8336184812841,3.85222827973694,3.87083807818977,3.88944787664261,3.90805767509544,3.92759796347091,3.9471382518464,3.96667854022187,3.98621882859735,4.00575911697283,4.02529940534831,4.04483969372378,4.06437998209926,4.08392027047474,4.10346055885021,4.12450394633149,4.14554733381278,4.16659072129406,4.18763410877534,4.20867749625663,4.22972088373791,4.2507642712192,4.27180765870049,4.29285104618177,4.31389443366305,4.33601696922029,4.35813950477754,4.38026204033479,4.40238457589203,4.42450711144928,4.44662964700652,4.46875218256377,4.49087471812102,4.51299725367826,4.53511978923552,4.55837681379569,4.58163383835587,4.60489086291605,4.62814788747624,4.65140491203642,4.6746619365966,4.69791896115679,4.72117598571697,4.74443301027715,4.76769003483734,4.79213972732367,4.81658941981002,4.84103911229637,4.86548880478271,4.88993849726906,4.9143881897554,4.93883788224175,4.9632875747281,4.98773726721443,5.01218695970078,5.03789048257104,5.06359400544131,5.08929752831157,5.11500105118182,5.14070457405208,5.16640809692235,5.19211161979261,5.21781514266287,5.24351866553312,5.26922218840339,5.27454463505834,5.27986708171329,5.28518952836824,5.2905119750232,5.29583442167815,5.30115686833311,5.30647931498806,5.31180176164301,5.31712420829797,5.32244665495292,5.3278228636953,5.33319907243767,5.33857528118005,5.34395148992242,5.3493276986648,5.35470390740717,5.36008011614956,5.36545632489194,5.37083253363431,5.37620874237669,5.38163925625787,5.38706977013906,5.39250028402025,5.39793079790144,5.40336131178263,5.40879182566382,5.414222339545,5.4196528534262,5.42508336730738,5.43051388118857,5.43599924874533,5.44148461630208,5.44696998385884,5.45245535141559,5.45794071897235,5.4634260865291,5.46891145408587,5.47439682164262,5.47988218919938,5.48536755675613,5.49093186047612,5.49649620735499,5.50206059739275,5.50762503058938,5.51318950694492,5.51875402645931,5.5243185891326,5.52988319496478,5.53544784395584,5.54101253610578,5.58432541969473,5.62763864034835,5.67095219806661,5.71426609284954,5.75758032469711,5.80089489360936,5.84420979958624,5.8875250426278,5.930840622734,5.97415653990486,6.02085489149281,6.06755360647729,6.1142526848583,6.16095212663582,6.20765193180986,6.25435210038043,6.30105263234753,6.34775352771115,6.39445478647129,6.44115640862796,6.49150485983446,6.54185370282655,6.59220293760419,6.64255256416741,6.69290258251619,6.74325299265054,6.79360379457047,6.84395498827594,6.894306573767,6.94465855104362,6.99894241892299,7.05322670919488,7.10751142185926,7.16179655691615,7.21608211436555,7.27036809420746,7.32465449644187,7.37894132106878,7.4332285680882,7.48751623750015,7.31345645487624,7.51156833448822,7.8743035928242,8.25350392246149,8.56104772881241,8.77078804868441,8.91661699878194,9.08342870664164,17.006555787181,17.5355246564045,18.3946931968697,24.5560442507215,28.3652328765895,27.2143640944591,30.9001834601189,34.4048512902851,49.995426933808,80.177245295886,113.154058435287,375.471786485872,2444.46684049297,2570.09277547044,3209.71232423473,3350.24490529601,4867.13150906111,6548.03083373562,10985.0000813094,12915.0836095485,15414.1779734779,40937.8055052607,38468.3316073571,39135.8349082891,37808.2948650331,50445.9024128877,52376.1587557595,51403.178683828,53409.457738022,52850.8267871259,58656.749418405,58340.2353684325,64567.7043729486,62947.310397747,65353.5018623262,71034.5714797486,74844.6930088203,81885.3727349605,79654.6226280111,83167.4457583034,84869.0966465444,88493.2739306053,88340.3500647445,98212.6542050196,103486.125631961,108594.146499657,111069.741495364,118657.633169875,129028.226893559,151088.219039308,153063.236609241,157147.889026177,163794.038829934,175296.083055658,174647.182141515,182964.24840198
"CO2","arg","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.83890421565,846.181485210247,1662.97192281323,1294.52133842581,886.37178674163,1309.20019629101,1468.988438407,1885.33980144578,2142.48299034039,2180.19298463021,1968.3757069288,2220.92064985162,2760.8872387494,1956.83458134134,2606.2550928618,3227.16066639637,3570.21353913969,5118.50324474976,5771.90938627182,8709.2346640932,8354.39451460221,10420.736181024,8619.80054251859,12432.5097137382,14413.3910072822,14616.9857477602,16130.262872311,15053.6098740482,13576.7989011466,11698.0841851767,8846.51963573424,9799.30176859754,11941.244244231,15054.2769964438,14871.2000158226,16895.8146943267,18423.7748499669,20937.116039781,20901.1799679386,20443.1084114248,22772.2353350687,22372.472195629,22940.9191881022,23479.5770322551,23047.1886219443,23068.028393549,23355.3597052646,24631.6761344449,25113.2837233965,26449.3941715271,28342.8818285677,28358.6056918119,29312.8029916807,27861.6410721735,26640.7283431027,26358.9317929751,27159.0739470962,28035.2282345665,29064.6288475776,30684.6750614926,31769.8414095725,34457.1995062507,33630.8158994304,34359.3938403168,36610.936496116,36517.0137273961,36224.6698243991,37740.8364835617,40908.4683707216,45762.3441642031,49326.6373969801,45424.6530316392,50586.9698317364,49401.4677989975,50361.1687263538,52431.4174601059,47688.4001266045,53039.3084133613,55603.2924784117,57219.7943863738,58861.123060973,61819.7178825408,70673.5454905008,75202.2563226191,92063.2156406891,92793.7163294099,97279.6775056752,96772.8875381782,94280.2519725869,98979.2082965242,102192.094853746,101162.858067563,107011.585286069,103205.969690601,101414.638237736,98547.5241922706,100651.347342836,98851.7503297764,91274.862173926,101076.181393205,107439.270188087,112347.874047439,108586.028287778,102154.779399761,108653.70234808,111156.066214571,111945.737443476,121546.725867022,124676.545774034,131256.115924585,140182.912165551,143640.500085997,146725.375169012,145737.516542242,136177.507831779,127771.495135298,137685.019144705,157791.44046557,161248.41000329,171415.964545455,177969.470794341,188983.403098302,181058.220578058,184357.838805106,191626.409386522,197089.841588971,193101.928807202,192068.830281595
"CO2","arm","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128555285386823,0.152346906950121,0.100319545980656,0.123884588144376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653203523663206,0,0,0,0,1.81492216146052,0,0,2.42210238395723,2.52624331003453,3.31308361266897,4.18667830348976,3.73589779513464,3.90191492172682,4.35844127059158,4.1488602519093,12.8422368266636,14.6381849968592,12.2415505294895,16.381306813284,17.6232439165535,23.3244297329726,23.6239645058529,22.1613777816537,26.7353036241297,30.704068376223,38.1353688825275,39.2713084634595,50.3982673242666,51.8946318154424,59.9680719258262,64.0694856814259,66.8634120880562,74.9051097450623,78.9554219075121,87.2981161370855,88.7644572453679,96.3985755283683,100.34574838076,105.457457445705,120.2184418778,134.42939580929,140.155929756538,162.919733984432,159.722922190069,190.319688717744,190.475540012758,217.138001959507,241.643210046956,271.31239867956,306.912031915304,317.581700767405,299.13353857368,280.594876183589,300.999130746994,250.62923447397,280.647761729345,304.424461564416,300.666071330961,313.034641934789,306.129419277801,309.276219440429,340.496855898862,359.631947119805,334.170872148379,319.997827831005,340.558854885131,309.547324929122,125.200184942839,119.427672882567,107.318167252205,110.596006683554,133.379852466712,146.267480264129,164.129889202619,166.010103359777,222.549814075145,270.197996034464,286.067013546117,315.578453426625,468.67147466146,566.15326686713,600.818793303137,650.80883380754,772.949296981673,857.788780514015,970.193358285621,998.924601498949,1056.11670806802,1067.39505592479,1225.18256685022,1125.52471896961,865.360540018903,977.20741528441,1043.46450113919,886.760711823133,1001.27673063187,1207.5339375909,1299.61019203067,1486.00748407267,1656.23679131639,1791.75008074375,1952.59720567043,2103.58761100733,2326.24499083024,2686.23682117402,3036.88266801487,3410.42337362705,3765.10156066477,4083.73934095719,4412.74711429248,4736.65893887578,5208.10527509695,5744.56176077881,6255.68804494703,6780.63948981738,7328.27809584272,7936.27005847886,8436.88017747651,9035.65053041261,9725.55412568529,15027.959664457,15916.6208854884,17154.1095863011,18401.1325774372,19929.4500907402,20844.6477378821,21316.9194581365,22102.3200445176,22590.9347474022,23628.070287269,23352.9434060971,23471.8855743601,23464.6178534617,23330.8429268345,23216.963110946,22659.0357471024,22492.6421857753,22291.9322946154,21835.2277569831,23299.5285935276,20107.5105469274,14445.9551889326,11173.0132194395,8498.42412153182,7594.22768921168,7427.27137838702,7347.20017280212,6671.6171808855,5464.46932239319,5325.1251557416,5396.88726601164,5216.75109235574,5743.24127873856,5479.26426687013,5339.38469210015,4914.66978044234,6654.01494945162,5346.3823110059,5068.80328820215,5781.39982402734,5884.08477988826,5939.52714612781,6108.13020287088,5885.1839429859
"CO2","asm","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32501000000001,6.46694,6.58856,6.70009,6.80151000000001,6.88251999999999,6.96363999999999,7.04476000000002,7.16648,7.33871999999999,7.79167081067249,8.29014684349576,8.84620017636182,9.42969358982827,10.0196246993622,10.6159483650204,11.2148881138514,11.8139401956299,12.4153674533156,12.9532123735472,13.4867927429633,14.015255344242,14.4444838211571,14.9629875937708,15.3648945501966,15.7860621179189,16.2615542528165,16.7442670542045,17.2399148347082,17.8315192272001,18.0617771160607,18.4917349563641,18.819166537108,19.1273568559701,19.405101004822,19.7568023869307,19.9754701329581,20.181491017404,19.864375987949,19.6258190660382,19.4827573454654,19.4220931691643,19.4198911457301,19.438767291274
"CO2","atg","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73092602343499e-05,0.0001743650985678,0.000261167515000351,0.000347716509532001,0.000434012082162752,0.000520054232892605,0.000605842961721558,0.000691378268649607,0.000776660153676763,0.000861688616803018,0.000934800998768282,0.0010055394753308,0.0010739040464906,0.00113989471224766,0.00120351147260198,0.00126475432755357,0.00132362327710242,0.00138011832124854,0.00143423945999193,0.00148598669333258,0.00156536704109827,0.00164523129487341,0.00172557945465797,0.00180641152045197,0.00188772749225541,0.00196952737006829,0.00205181115389059,0.00213457884372234,0.00221783043956351,0.00230156594141413,0.002417568431671,0.00253610534938228,0.00265717669454795,0.002780782467168,0.00290692266724244,0.00303559729477128,0.00316680634975451,0.00330054983219214,0.00343682774208416,0.00357564007943056,0.00375723418795428,0.00394332600899203,0.00413391554254383,0.00432900278860968,0.00452858774718958,0.00473267041828352,0.0049412508018915,0.00515432889801355,0.00537190470664963,7.0290661014836,5.34779759400941,8.98878485295061,10.8403409251211,9.05593859417516,14.4926743311393,14.4857884794219,15.5681162687547,20.7906072305223,20.8271946458145,26.0790173372583,33.871773116517,73.0297940909851,60.1020609812774,65.4699399923031,107.691974610794,250.768132174468,407.849297948868,716.74047487625,912.161840883055,336.53323793248,318.200165887137,321.445525568409,267.610628250855,284.765969167059,520.787540774323,284.989573335126,309.328549657589,392.610856426546,310.619080280287,134.738182853692,146.354647891065,302.285767226971,121.998277865267,164.101320296702,240.733451375747,296.534194685264,319.148222879436,320.102480989907,306.249511182829,292.379070105899,292.449192585953,290.301893124848,292.360189834427,294.882745590418,310.448655272043,311.458910419915,322.595819526248,314.464946652204,324.340104086449,307.764237425173,305.44445120267,323.389854688856,337.752417716012,347.75375570738,341.576814414254,352.25041959928,385.43087962513,396.864225383352,415.942886050097,459.754864123293,464.921218238481,511.816723776813,530.238584571142,536.801297434083
"CO2","aus","ktC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0625648905499,28.2659799314138,38.5250021096916,46.7774308209824,52.7240240980973,69.9699021858206,89.4650736370438,111.21622514068,141.756805524331,176.024207261175,321.240977168845,224.084111091293,251.474318305539,168.475281810993,264.729385689215,436.896221644103,560.838551363691,459.929667335954,402.635788191013,377.471102417294,434.872891685904,444.118552614684,545.067711689972,558.897934460803,520.01859265616,584.343850812132,669.30337088387,607.599829874729,912.575898251966,1382.57086101653,1107.67321779525,1261.25890278423,1520.1771240321,1611.86165540938,1820.30976573436,1809.39077063218,1901.53546320746,2211.2858083207,2147.79496541772,2224.02834055047,2512.80864037125,2602.33394184247,2485.789192073,2733.29749322257,2877.77646152064,2823.44791505969,3119.37003601226,3518.35152893357,3701.95968950717,6440.59828944761,8008.97052769685,8614.88447478099,9208.64137659958,10191.1897354748,11380.0589711489,13210.2718933487,13882.0459455476,14621.4290849634,12385.9693066297,14315.4642626771,15592.3623299711,16626.7234040775,17674.9155843941,19065.5517776984,16750.6918846738,14674.585046191,15650.3924516454,17119.5268855259,16063.7786153222,18815.9250580398,16917.9715348298,17768.1449744955,18118.3506920322,19713.070569396,20538.8941805034,20522.909601884,21557.4348055664,19839.4922954712,18074.8964549922,17040.8635857251,15100.7690168974,15680.661187941,16587.7801317847,17397.004010222,19277.7117252513,20976.8661346028,22709.8403329445,22407.5355869755,26041.0503917347,23872.3893937728,28440.3741534034,30112.4480030722,28935.0627823737,28337.807736155,27119.0688806897,30113.3578403376,33095.0093150492,34237.299292011,34328.275203642,53714.1942675366,58498.8468668002,59799.1867956704,58682.7672675414,68126.9037705831,71663.1413081641,74934.6120530938,77067.0057569813,80997.9835916319,87913.9417520111,97139.3129055908,103125.254909701,105304.313336496,112480.754682953,117150.768713932,121610.742974164,129519.489447151,136348.859841891,141761.00786443,146642.256530973,148228.899342324,149457.889409919,154056.063900029,162628.35815433,170570.520221884,175693.72314878,178213.55776093,190654.258355196,195772.137861235,202303.097920976,215298.899903619,215790.076321089,221559.263843996,213837.206400043,223262.141132314,229833.380993592,231885.588111628,241391.825345369,244456.022770508,265115.85727109,274467.413590275,274161.02562498,279354.547720466,282870.432077181,287055.096332471,297128.201258167,304115.527598132,312161.496653225,325866.686210345,335776.270978796,342407.388247487,348898.850951072,353989.113383712,359009.744371158,371796.958559886,374465.537568566,379856.81858234,387115.808508617,391456.170412208,390967.331367123,391307.072314899,389134.390321891,388875.711356377,387772.948853866,381110.711698579
