"em","country","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"CH4","sle","ktCH4",70.3520613520098,71.5986893985619,72.279139570728,73.4018690877763,75.5629793400485,77.4875468614971,80.2862589274496,82.1076053830826,84.4525873057949,83.5631168399325,85.3550809725448,85.6786131763122,87.1249434000862,85.6641788458644,82.561193386257,85.5059826666253,86.8559534494262,89.1530090749215,92.4782625240517,94.6913364900145,101.643850481676,101.027003721582,101.427192262822,104.413622013868,102.862325507331,101.720296801313,101.59565977116,105.773557389277,106.198136671626,101.929595005571,102.395434100493,109.260627333461,118.954035566301,123.150102485996,133.194089088147,144.534288544678,156.709346401581,136.076836398105,142.076126654468,141.289588193918,152.425156025729,151.621544514682,168.420848598441,179.967920002397,182.040007732803
"CH4","slv","ktCH4",109.13081986323,112.018236489275,116.299495199505,109.851006994056,113.313206072951,114.661072505209,120.913026300859,132.786005696029,138.47924009414,142.71029351079,132.024467544006,126.35031933669,118.535737860447,117.578833773992,118.997771027831,123.483398833802,123.627112532152,126.349371808374,127.999393652045,130.62506190544,134.584886464636,137.488377118933,140.497196687623,137.802533902588,142.309987809543,135.005579838431,147.103843242615,141.971805811847,136.738769158147,143.221034988979,139.27593599269,150.207095940929,156.219137706213,153.725201563269,155.281628813937,156.186262640969,161.06475046889,159.476886947807,162.561512423325,158.536371774377,156.982757800361,158.372454510726,160.572148627139,172.420385483946,180.168093024366
"CH4","som","ktCH4",536.682392347745,542.037803576007,551.882084050706,548.128838791305,544.171189144421,582.376619216255,582.690936051015,619.409955710923,664.970672814139,663.532088586795,662.797310316477,686.653392766996,706.639202653021,687.376644792737,697.783793719338,721.733715002598,728.609937254708,756.264737936211,789.026389387961,787.433856394006,737.017698278009,662.944700084654,613.589569733527,664.956204560144,713.950623464768,733.837968079379,751.356238962148,768.391960799411,774.60100300767,783.890707754242,794.802067619831,806.757365835866,817.240244929229,830.394195550779,842.653037753037,857.311330950012,827.289768786216,802.301503509954,806.801541672365,816.014750363044,854.923937685543,864.241965396035,916.93959228644,957.208300726424,975.408922563809
"CH4","spm","ktCH4",0.0462582872578946,0.0456986213880847,0.0460864141762013,0.0459281891454199,0.0474005768645072,0.047843321682929,0.0494523343840988,0.0491181367189302,0.0504150935339006,0.0513181207962556,0.052031359294854,0.0533343312104355,0.0539400063984116,0.0540343316791428,0.0546308757430791,0.0632921831706433,0.0660419885254066,0.0677479838210976,0.0693812979344654,0.0705361224699943,0.0681194576203852,0.0683191922069258,0.069059977705403,0.0710585898753852,0.0723694270652653,0.0699540173660801,0.0707896994552603,0.0696487709624215,0.0744326257558025,0.0751463732246961,0.0785804312152167,0.0792511857976335,0.0802283922489057,0.0820943997633799,0.0826668214077499,0.0832459165442908,0.0838272384018117,0.084105753482809,0.0845433963366744,0.0842850336008006,0.0847287374976797,0.0843736776162111,0.0858126081235299,0.0859845858010141,0.0860698885140125
"CH4","srb","ktCH4",313.898385429063,312.28748531181,316.731948920504,325.153471801692,340.914418834752,355.0628372594,355.107733059086,351.527776875294,352.98433228619,346.794433623217,341.967798325916,345.357664445649,348.04348723739,344.468996393275,344.579182237202,337.245901578374,328.805076785869,328.36548334541,321.75248800271,311.392969031136,312.314098276692,303.721946093974,269.681486136559,268.076602516213,257.936745955663,271.004431071501,270.743722997014,267.940634254945,262.520384164143,245.600439453905,217.758816675205,205.920394625274,200.334705156575,197.151438931428,193.940145075352,175.433395699627,180.559684273663,180.7239416444,174.761807701524,176.901168575238,179.442952835465,181.029714508005,182.292492674129,181.040599732671,180.048404797275
"CH4","srb (kosovo)","ktCH4",0.984810459183069,0.990628425788823,1.00511130267566,1.01832353838125,1.03174036089198,1.04388004983429,1.05623686947553,1.06734764010725,1.0779163050485,1.08870928618909,1.09823621046906,1.10902974650416,1.121792022728,1.13563136758619,1.14977699520828,1.16498609106574,1.17978457266894,1.19489707646168,1.21089468845003,1.2251991768126,1.23847688679476,1.25279370756232,1.26823425393726,1.28313863137985,1.29626976435574,1.30985183015874,1.32322598932709,1.32974703707232,1.24827445557599,1.11700654590016,1.74339554444489,1.80492509445545,1.77141549705326,1.75934088173931,1.70003998484757,1.68055387534249,1.65290905655497,1.58824414393975,2.31680052728504,2.32577686618029,2.31309787221266,2.30859136874258,2.24996843284297,2.23069191687974,2.15826484826982
"CH4","ssd","ktCH4",8.17712672011523,8.36109541384632,8.58045329412207,8.7668166793365,8.95003118744402,9.13336981438253,9.33493254196591,9.53645813797829,9.7404921975103,9.96351727117163,10.1388125838236,10.3878207241466,10.6438818206904,10.8781639373198,11.0546578703907,11.1972579351859,11.3132552916423,11.4087100903869,11.4575983040298,11.432063507865,11.3197235338052,11.1052151902629,10.6363130570679,10.202234382839,9.95903327801371,9.92928726107014,10.0800779719219,10.2708364215892,10.6326272010346,11.0279579339965,11.4028504489417,11.8534229942789,12.2864947500315,12.7198214914354,13.1825118731968,13.6956665471308,14.2399988142684,14.8225198477352,15.4411935256132,16.0913360646897,16.7672699743745,17.4270663683996,18.1450478702648,18.8274398200732,18.7658213757703
"CH4","stp","ktCH4",0.824145952076278,0.846865800138193,0.848900669609061,0.879470210942201,0.891614546477895,0.913559815657445,0.948762658049461,0.974490089126168,1.00482613787967,1.02458926498554,1.04880308061737,1.12782674893136,1.12910530508613,1.17390518763359,1.21712257662355,1.24043869024453,1.2750728545921,1.31038146314842,1.34946194380335,1.38395302580423,1.42996076687629,1.47383270367652,1.51519049830243,1.54741280559953,1.5997360079926,1.63682464167449,1.67027160328282,1.70685023508571,1.73412450596086,1.7692414125108,1.82345419858457,1.86133804032334,1.91072749962488,1.96376798569537,1.97954729924451,2.01047097841415,2.03284989130408,2.06752214862848,2.10187460104594,2.06249575217797,2.3000861382935,2.25379331223403,2.62114143661548,2.85852513758547,2.88239708120501
"CH4","sur","ktCH4",18.2995314208666,18.4095205435659,17.6075723050552,19.5908109365648,19.2032918176182,20.0887345938304,20.3577409044542,20.9748569252353,23.0352961976756,24.6342101364388,26.7399980792575,28.6222774291623,29.3480809492582,29.711758502994,30.2754002614473,30.286358365568,30.6759175108668,30.0524999695649,30.1717333843254,30.7573494966376,26.6900794031543,29.1107640843833,31.8473418061203,29.1057866444316,28.5542185519993,30.1597371148699,28.9075284382578,26.5784851953452,26.4560925816881,26.6038029748206,24.1230092969312,27.7849025866497,21.8122214790466,24.3224957559935,23.4664437023966,22.0931345845017,21.7620779469021,21.2670198817172,21.8042202338826,22.2686835545197,22.2307168029575,22.5857660293199,23.0715165207601,25.1821916887986,26.4816116129235
"CH4","svk","ktCH4",175.477942966513,179.584568357608,183.186335655679,187.20694377485,190.469296796222,195.757265207167,198.13183803404,204.138032674614,211.72585866697,215.048400979463,223.14172339351,226.169821583598,232.455143553125,236.515019965213,242.971289235387,243.145205065842,240.481598140011,243.013392386519,247.299440922099,248.190465389599,246.715916348735,239.345876783948,226.16513918327,211.441988130564,209.615321463897,219.453296594602,219.154692666384,204.967277094814,214.675714285714,224.199047619048,210.147142857143,213.188095238095,235.220428571429,227.201428571429,224.875238095238,214.340338095238,217.478828571429,213.692533333333,220.027185714286,204.162664967468,198.047193699251,198.113632232481,203.109124674096,203.011865001965,202.837287818652
